Strain,Stress (MPa)
0.011703467,1.271912737
0.0117368,1.27419217
0.011770133,1.277922126
0.011803467,1.280961555
0.0118368,1.284074519
0.011870133,1.286689859
0.011903467,1.28945565
0.0119368,1.293169649
0.011970133,1.296150617
0.012003467,1.299522197
0.0120368,1.301949724
0.012070133,1.304857417
0.012103467,1.308600084
0.0121368,1.311070986
0.012170133,1.314806051
0.012203467,1.317849577
0.0122368,1.321052785
0.012270133,1.324731991
0.012303467,1.326966143
0.0123368,1.330065229
0.012370133,1.333550212
0.012403467,1.336527221
0.0124368,1.3394288
0.012470133,1.341624359
0.012503467,1.344907064
0.0125368,1.348040367
0.012570133,1.350948129
0.012603467,1.353706711
0.0126368,1.356689633
0.012670133,1.360957728
0.012703467,1.363604827
0.0127368,1.36669105
0.012770133,1.369375021
0.012803467,1.371544205
0.0128368,1.374783757
0.012870133,1.377950881
0.012903467,1.381292811
0.0129368,1.384819528
0.012970133,1.386819159
0.013003467,1.390582939
0.0130368,1.393354846
0.013070133,1.395727543
0.013103467,1.399128431
0.0131368,1.401993273
0.013170133,1.404817329
0.013203467,1.4081637
0.0132368,1.410516528
0.013270133,1.413858547
0.013303467,1.416679693
0.0133368,1.420126927
0.013370133,1.423829967
0.013403467,1.426925313
0.0134368,1.429767312
0.013470133,1.432471482
0.013503467,1.435273578
0.0135368,1.438268606
0.013570133,1.441176396
0.013603467,1.444362059
0.0136368,1.447054189
0.013670133,1.449723184
0.013703467,1.453187633
0.0137368,1.457152006
0.013770133,1.46035732
0.013803467,1.462748628
0.0138368,1.46560871
0.013870133,1.467161974
0.013903467,1.470027214
0.0139368,1.474248416
0.013970133,1.476817806
0.014003467,1.479783984
0.0140368,1.482782207
0.014070133,1.484910151
0.014103467,1.488713152
0.0141368,1.491435065
0.014170133,1.495034518
0.014203467,1.497959754
0.0142368,1.500608928
0.014270133,1.503260943
0.014303467,1.505328981
0.0143368,1.509185708
0.014370133,1.512937249
0.014403467,1.515586014
0.0144368,1.518717474
0.014470133,1.521087027
0.014503467,1.523775742
0.0145368,1.526477915
0.014570133,1.529258886
0.014603467,1.5328148
0.0146368,1.534830563
0.014670133,1.537523153
0.014703467,1.541677757
0.0147368,1.544043168
0.014770133,1.547779307
0.014803467,1.550802472
0.0148368,1.553453116
0.014870133,1.555893575
0.014903467,1.558578695
0.0149368,1.561803514
0.014970133,1.564630808
0.015003467,1.568070343
0.0150368,1.570568351
0.015070133,1.573327213
0.015103467,1.575609869
0.0151368,1.578508156
0.015170133,1.582264045
0.015203467,1.584437854
0.0152368,1.586830157
0.015270133,1.590665989
0.015303467,1.592216702
0.0153368,1.596008435
0.015370133,1.599862332
0.015403467,1.602655507
0.0154368,1.605780116
0.015470133,1.607242541
0.015503467,1.610531643
0.0155368,1.61340099
0.015570133,1.61668242
0.015603467,1.619663103
0.0156368,1.622110756
0.015670133,1.625316523
0.015703467,1.62845924
0.0157368,1.631180318
0.015770133,1.633939217
0.015803467,1.635628001
0.0158368,1.63764292
0.015870133,1.641204559
0.015903467,1.643957932
0.0159368,1.648017632
0.015970133,1.650156123
0.016003467,1.653564424
0.0160368,1.65649098
0.016070133,1.658386971
0.016103467,1.660553025
0.0161368,1.663221486
0.016170133,1.667822543
0.016203467,1.670401585
0.0162368,1.672808389
0.016270133,1.675404165
0.016303467,1.677481608
0.0163368,1.681556358
0.016370133,1.684404066
0.016403467,1.687162286
0.0164368,1.690029009
0.016470133,1.692529624
0.016503467,1.695693816
0.0165368,1.698079604
0.016570133,1.700133667
0.016603467,1.704237585
0.0166368,1.706631481
0.016670133,1.709405356
0.016703467,1.712368023
0.0167368,1.714668113
0.016770133,1.718436962
0.016803467,1.72067091
0.0168368,1.723781218
0.016870133,1.725382225
0.016903467,1.727578423
0.0169368,1.730677042
0.016970133,1.73397701
0.017003467,1.737002612
0.0170368,1.740937627
0.017070133,1.743351326
0.017103467,1.745236916
0.0171368,1.748074886
0.017170133,1.751586807
0.017203467,1.75407911
0.0172368,1.756553004
0.017270133,1.759410965
0.017303467,1.761015357
0.0173368,1.764207979
0.017370133,1.767048232
0.017403467,1.769707738
0.0174368,1.773514087
0.017470133,1.776619434
0.017503467,1.779501503
0.0175368,1.781994179
0.017570133,1.78362399
0.017603467,1.786578643
0.0176368,1.789922874
0.017670133,1.792723587
0.017703467,1.79468738
0.0177368,1.7974408
0.017770133,1.800979796
0.017803467,1.803452875
0.0178368,1.80645753
0.017870133,1.809253643
0.017903467,1.811838137
0.0179368,1.815064779
0.017970133,1.816147956
0.018003467,1.819958674
0.0180368,1.821819673
0.018070133,1.824482798
0.018103467,1.8279405
0.0181368,1.830509345
0.018170133,1.833779995
0.018203467,1.835878851
0.0182368,1.838160502
0.018270133,1.841982465
0.018303467,1.844045475
0.0183368,1.846664204
0.018370133,1.849916709
0.018403467,1.852588923
0.0184368,1.855604148
0.018470133,1.858463391
0.018503467,1.861444792
0.0185368,1.864130753
0.018570133,1.865928511
0.018603467,1.868657945
0.0186368,1.870080145
0.018670133,1.873311752
0.018703467,1.876851961
0.0187368,1.879863714
0.018770133,1.882289675
0.018803467,1.883847061
0.0188368,1.887001912
0.018870133,1.889180421
0.018903467,1.891566509
0.0189368,1.895043102
0.018970133,1.897947222
0.019003467,1.900872391
0.0190368,1.903879934
0.019070133,1.906182282
0.019103467,1.909659
0.0191368,1.911240462
0.019170133,1.914055844
0.019203467,1.917083747
0.0192368,1.919906873
0.019270133,1.922471995
0.019303467,1.924415669
0.0193368,1.927699212
0.019370133,1.930202905
0.019403467,1.931724606
0.0194368,1.934805475
0.019470133,1.937357585
0.019503467,1.94096722
0.0195368,1.943803402
0.019570133,1.945444163
0.019603467,1.948232336
0.0196368,1.950189894
0.019670133,1.954211404
0.019703467,1.956843536
0.0197368,1.958711595
0.019770133,1.961602246
0.019803467,1.964169073
0.0198368,1.967152449
0.019870133,1.969562875
0.019903467,1.972926081
0.0199368,1.975948426
0.019970133,1.977402526
0.020003467,1.980015217
0.0200368,1.981944617
0.020070133,1.985207428
0.020103467,1.988004384
0.0201368,1.990509258
0.020170133,1.992999744
0.020203467,1.995929806
0.0202368,1.99830212
0.020270133,2.001772377
0.020303467,2.003034171
0.0203368,2.005548921
0.020370133,2.008804585
0.020403467,2.011515951
0.0204368,2.014723684
0.020470133,2.017079067
0.020503467,2.020208553
0.0205368,2.022079954
0.020570133,2.024330247
0.020603467,2.026450753
0.0206368,2.028906317
0.020670133,2.031696402
0.020703467,2.034575243
0.0207368,2.03715408
0.020770133,2.039697892
0.020803467,2.042196351
0.0208368,2.045425985
0.020870133,2.047863649
0.020903467,2.050029145
0.0209368,2.052877372
0.020970133,2.054275489
0.021003467,2.057565348
0.0210368,2.060135264
0.021070133,2.062480531
0.021103467,2.066450582
0.0211368,2.068152809
0.021170133,2.071045435
0.021203467,2.073046162
0.0212368,2.075667126
0.021270133,2.079023915
0.021303467,2.081805748
0.0213368,2.083854562
0.021370133,2.086184068
0.021403467,2.088279922
0.0214368,2.090964935
0.021470133,2.093858259
0.021503467,2.095918732
0.0215368,2.098320103
0.021570133,2.100796293
0.021603467,2.104142687
0.0216368,2.106065004
0.021670133,2.108775679
0.021703467,2.111599529
0.0217368,2.113700339
0.021770133,2.116107236
0.021803467,2.118826037
0.0218368,2.121655638
0.021870133,2.124016921
0.021903467,2.126826581
0.0219368,2.129285637
0.021970133,2.131193538
0.022003467,2.134195185
0.0220368,2.136330102
0.022070133,2.13864168
0.022103467,2.141315966
0.0221368,2.142825742
0.022170133,2.146018383
0.022203467,2.14926308
0.0222368,2.151314536
0.022270133,2.154133958
0.022303467,2.15639532
0.0223368,2.159382476
0.022370133,2.161506644
0.022403467,2.162916175
0.0224368,2.165427709
0.022470133,2.167207525
0.022503467,2.171088955
0.0225368,2.17454895
0.022570133,2.176523915
0.022603467,2.17892549
0.0226368,2.180639266
0.022670133,2.183403596
0.022703467,2.186419079
0.0227368,2.188040506
0.022770133,2.19044014
0.022803467,2.19347157
0.0228368,2.195705547
0.022870133,2.198689815
0.022903467,2.200799494
0.0229368,2.202513947
0.022970133,2.205133543
0.023003467,2.208137176
0.0230368,2.210079052
0.023070133,2.213344038
0.023103467,2.215710043
0.0231368,2.21781016
0.023170133,2.220540549
0.023203467,2.222506936
0.0232368,2.225007683
0.023270133,2.228599778
0.023303467,2.230184363
0.0233368,2.232082069
0.023370133,2.23453439
0.023403467,2.237096742
0.0234368,2.239939586
0.023470133,2.241552101
0.023503467,2.243942438
0.0235368,2.247096139
0.023570133,2.249174772
0.023603467,2.252179394
0.0236368,2.253909579
0.023670133,2.257000252
0.023703467,2.259624669
0.0237368,2.261644614
0.023770133,2.264718092
0.023803467,2.266534494
0.0238368,2.269636674
0.023870133,2.272060811
0.023903467,2.274047204
0.0239368,2.275868148
0.023970133,2.277766861
0.024003467,2.280475191
0.0240368,2.283691622
0.024070133,2.285707477
0.024103467,2.288570286
0.0241368,2.290995365
0.024170133,2.293423172
0.024203467,2.295482587
0.0242368,2.296720769
0.024270133,2.299546891
0.024303467,2.302211924
0.0243368,2.305108178
0.024370133,2.307365073
0.024403467,2.309819797
0.0244368,2.312814761
0.024470133,2.314994489
0.024503467,2.317826632
0.0245368,2.320186304
0.024570133,2.32165933
0.024603467,2.324664318
0.0246368,2.326511337
0.024670133,2.330181261
0.024703467,2.332560932
0.0247368,2.334735299
0.024770133,2.337271048
0.024803467,2.338486932
0.0248368,2.341131113
0.024870133,2.344157883
0.024903467,2.345822971
0.0249368,2.348449787
0.024970133,2.350307156
0.025003467,2.352299717
0.0250368,2.355455995
0.025070133,2.357747694
0.025103467,2.360372444
0.0251368,2.362333926
0.025170133,2.364280431
0.025203467,2.367283097
0.0252368,2.369218638
0.025270133,2.372032871
0.025303467,2.373781368
0.0253368,2.376718202
0.025370133,2.379757649
0.025403467,2.381530956
0.0254368,2.383813437
0.025470133,2.385864453
0.025503467,2.388624032
0.0255368,2.390819985
0.025570133,2.392016472
0.025603467,2.395417511
0.0256368,2.39738986
0.025670133,2.400712341
0.025703467,2.403191701
0.0257368,2.404719048
0.025770133,2.407208305
0.025803467,2.409325797
0.0258368,2.412117739
0.025870133,2.415113449
0.025903467,2.416568178
0.0259368,2.419291645
0.025970133,2.420614541
0.026003467,2.423824514
0.0260368,2.425627573
0.026070133,2.426946796
0.026103467,2.42966493
0.0261368,2.431773941
0.026170133,2.434800883
0.026203467,2.436763868
0.0262368,2.438526421
0.026270133,2.441727873
0.026303467,2.4439911
0.0263368,2.446111642
0.026370133,2.449304618
0.026403467,2.450024643
0.0264368,2.453427877
0.026470133,2.455660092
0.026503467,2.458107932
0.0265368,2.461216472
0.026570133,2.461940099
0.026603467,2.464684564
0.0266368,2.467111812
0.026670133,2.469505959
0.026703467,2.472342297
0.0267368,2.473980685
0.026770133,2.476795131
0.026803467,2.478881668
0.0268368,2.481364773
0.026870133,2.483117915
0.026903467,2.485744917
0.0269368,2.488587942
0.026970133,2.490458819
0.027003467,2.492155134
0.0270368,2.494482518
0.027070133,2.496444602
0.027103467,2.500157023
0.0271368,2.50204868
0.027170133,2.503932568
0.027203467,2.505981746
0.0272368,2.507583567
0.027270133,2.510806664
0.027303467,2.513045211
0.0273368,2.51534043
0.027370133,2.517272918
0.027403467,2.519198037
0.0274368,2.521798258
0.027470133,2.523900475
0.027503467,2.52664738
0.0275368,2.52861303
0.027570133,2.531260402
0.027603467,2.533769812
0.0276368,2.535476922
0.027670133,2.537538263
0.027703467,2.539945398
0.0277368,2.542277212
0.027770133,2.545604001
0.027803467,2.546557906
0.0278368,2.548503902
0.027870133,2.551990329
0.027903467,2.553694278
0.0279368,2.555810754
0.027970133,2.556655126
0.028003467,2.559834186
0.0280368,2.562376944
0.028070133,2.564451903
0.028103467,2.565698587
0.0281368,2.567875952
0.028170133,2.569842443
0.028203467,2.573199813
0.0282368,2.57520938
0.028270133,2.57850533
0.028303467,2.580406351
0.0283368,2.582321608
0.028370133,2.584691504
0.028403467,2.586417353
0.0284368,2.58926833
0.028470133,2.591595029
0.028503467,2.593380708
0.0285368,2.595371018
0.028570133,2.596848258
0.028603467,2.600502261
0.0286368,2.601535501
0.028670133,2.603656829
0.028703467,2.606133586
0.0287368,2.60868709
0.028770133,2.611872581
0.028803467,2.612874275
0.0288368,2.614612917
0.028870133,2.617189128
0.028903467,2.618924326
0.0289368,2.622318789
0.028970133,2.624266397
0.029003467,2.626133588
0.0290368,2.628788465
0.029070133,2.631209669
0.029103467,2.634183277
0.0291368,2.635284724
0.029170133,2.637395861
0.029203467,2.639957522
0.0292368,2.641867357
0.029270133,2.644986829
0.029303467,2.6460525
0.0293368,2.64793928
0.029370133,2.650551407
0.029403467,2.652381518
0.0294368,2.655598551
0.029470133,2.657559603
0.029503467,2.659158414
0.0295368,2.661233535
0.029570133,2.663188228
0.029603467,2.66571961
0.0296368,2.668721445
0.029670133,2.670919036
0.029703467,2.673399013
0.0297368,2.674429192
0.029770133,2.676830737
0.029803467,2.678442962
0.0298368,2.681060024
0.029870133,2.683375001
0.029903467,2.68463248
